#{"t_start": 1655135458.554423, "env_id": "Marlin-v1"}
r,l,t
3292.060972,1132,183.524077
3439.693769,1143,366.185882
4166.883555,1324,548.360089
3514.260632,1149,730.550565
2035.778575,819,913.33932
4707.046862,1495,1095.548666
2711.352097,983,1278.270869
2398.497549,841,1460.977548
4273.622656,1290,1644.481406
947.118391,514,1826.58313
4244.28686,773,2374.741129
8663.107081,1527,2557.438737
9127.289479,1562,2740.036732
9549.899,1575,2922.730762
9758.487943,1579,3105.319114
10187.872309,1550,3287.9042
10549.842203,1599,3470.497183
9768.667477,1562,3653.215899
9690.831018,1511,3835.876296
10202.263299,1586,4018.079757
10174.140089,1551,4565.342404
9440.997487,1514,4747.514536
8471.940736,1357,4930.097512
9960.224282,1575,5112.772525
10033.267235,1586,5295.421544
10354.135717,1583,5477.596057
9560.811103,1462,5659.934426
10096.363624,1538,5842.01659
10179.99359,1583,6024.675486
10681.41361,1587,6207.346815
8517.301945,1288,6754.789425
10637.245363,1594,6937.432924
10653.221232,1584,7120.107487
10271.512407,1560,7302.777679
9962.977367,1577,7485.545339
10671.911287,1600,7667.646069
10715.804978,1572,7850.480199
10138.76865,1569,8033.074024
10087.473819,1578,8216.498703
10009.599015,1570,8399.38007
10039.925557,1571,8947.954374
10337.719181,1592,9130.563134
10127.62563,1576,9312.712974
10166.036608,1583,9495.559998
10381.273856,1586,9678.755395
10202.896947,1580,9861.439396
10330.946119,1592,10044.107249
10015.083432,1554,10226.735109
10266.994249,1585,10409.339813
10006.684402,1557,10591.950056
10094.596299,1575,11140.361094
10300.447415,1589,11323.03375
10177.999952,1582,11505.714763
10198.385928,1582,11688.388642
10272.137348,1591,11871.050534
10161.970011,1581,12053.721277
10318.012119,1589,12236.319176
10099.494538,1574,12418.941811
2207.524998,567,12601.532291
9325.042148,1587,12783.707694
10304.59569,1585,13331.461068
10424.479131,1588,13514.054189
10306.755081,1588,13696.758733
10242.946538,1584,14161.674609
10418.957374,1593,14344.31205
10172.305157,1579,14526.922988
10200.219219,1577,14709.533632
10169.249033,1593,14891.632381
10214.802149,1580,15073.940381
10890.318518,1598,15256.203565
10375.262318,1589,15804.262048
10319.14992,1584,15986.441938
10219.065064,1580,16169.258223
10468.799085,1591,16351.889976
10726.441415,1597,16534.035778
11110.280823,1609,16716.851655
10913.474809,1595,16899.535614
10459.434649,1590,17082.177037
10482.349917,1593,17264.827978
10273.711784,1583,17447.500691
9433.027513,1580,17994.902711
10718.305294,1604,18177.579932
10406.00439,1583,18359.770176
11078.740918,1608,18542.580159
10818.834312,1594,18725.190797
10315.914117,1583,18907.356278
10464.778652,1590,19089.693005
10223.710297,1578,19271.899004
10420.403452,1588,19454.728956
8875.953018,1337,19637.613202
10345.299409,1582,20184.945729
10385.460865,1582,20367.11727
10489.539059,1589,20549.982482
10107.083294,1583,20732.866675
10515.426579,1590,20915.222683
10480.051917,1584,21097.899185
10412.740329,1582,21280.570303
10558.627879,1592,21463.238663
10307.792438,1581,21645.904916
10312.311533,1590,21828.100403
11223.642452,1610,22375.134741
11078.449991,1598,22557.377205
11182.754317,1609,22739.983475
10386.884328,1581,22922.087849
9284.203418,1406,23104.885005
10553.524478,1592,23287.519774
10399.53485,1579,23470.182035
10605.375628,1591,23652.783332
10474.466809,1583,23834.872636
10471.762086,1587,24017.640976
10669.231479,1594,24565.267346
10472.242011,1582,24747.883355
9891.452509,1504,25152.393163
10374.049319,1556,25335.039246
10513.075227,1582,25517.691181
10638.295821,1592,25700.355744
10480.096173,1582,25882.466172
10688.418181,1592,26064.59344
10415.341945,1583,26246.714763
9907.776105,1491,26923.187594
10410.355052,1582,27954.732079
10683.058515,1593,28137.352629
10499.464055,1582,28320.041277
10905.262365,1593,28502.731673
11333.660225,1609,28685.388336
10570.572533,1583,28868.072491
10891.350009,1599,29050.746502
10693.726463,1589,29233.423781
10611.734509,1587,29416.0874
10712.526714,1595,29598.777409
11300.492646,1602,30146.782502
10594.724152,1586,30328.895613
10684.032612,1592,30512.135382
10534.664348,1582,30694.814485
10578.32684,1587,30877.116215
9782.325914,1449,31059.719779
10515.739739,1583,31242.422905
10959.160174,1599,31475.282564
10948.55597,1597,31657.47876
11078.236074,1597,31840.223121
10830.78523,1585,32388.220464
10650.346392,1591,32570.894223
10512.948997,1585,32753.56648
10750.448563,1594,32936.240716
11022.77529,1593,33118.354928
11251.9375,1600,33300.469622
10859.524045,1594,33483.245275
10595.326782,1584,33665.91067
10750.886901,1591,33848.079928
10565.549083,1583,34030.857051
10595.204146,1583,34578.871918
10689.014891,1590,34761.546397
10547.338838,1583,34943.72212
10727.666741,1585,35126.493901
11094.136335,1601,35308.655165
11310.822544,1603,35490.754403
10808.460614,1596,35672.991712
10558.371397,1581,35855.260847
10506.475281,1578,36038.029216
10720.468692,1592,36220.902299
10701.084599,1593,36798.18901
10644.701334,1582,36980.859082
10724.979178,1594,37163.544401
10559.522586,1582,37346.20348
10601.813578,1582,37528.818444
11064.911905,1598,37711.441567
10587.982805,1579,37894.241653
11516.083727,1612,38076.915803
11130.265623,1598,38259.572617
10898.880928,1593,38442.251451
11067.130278,1596,38989.752736
11500.753017,1613,39172.360689
11301.349592,1604,39354.972136
9118.857474,1578,39537.371123
11063.982656,1592,39719.4983
11054.707394,1597,39902.203812
11237.042347,1605,40084.863699
10712.184197,1586,40267.547593
10809.317156,1593,40450.218353
10637.030887,1580,40632.392238
10756.42076,1587,41180.123482
11508.584501,1613,41362.770569
10680.675682,1586,41544.931858
10576.43523,1579,41727.567799
10777.831599,1591,41910.190198
10600.469949,1583,42092.824137
10956.061583,1594,42275.447504
10546.870549,1577,42458.091347
10626.964343,1583,42640.711155
10761.659195,1592,42823.348477
10752.392245,1590,43371.44094
10598.405056,1580,43554.295217
11005.466089,1599,43737.141095
11337.32327,1603,43919.757562
11286.86417,1598,44102.379336
11508.326151,1610,44284.99225
11289.266616,1604,44467.339907
11538.09039,1611,44650.078652
10661.553147,1583,44832.740739
10578.482511,1579,45014.916404
10830.091114,1593,45562.825478
10388.339199,1552,45745.49764
10842.048888,1586,45928.168148
11262.698083,1604,46110.849711
11340.050747,1603,46293.513817
11013.406321,1600,46476.171277
10606.696051,1584,46658.857467
10537.552743,1576,46841.550801
10744.249751,1592,47023.715669
10644.503876,1582,47206.025267
10958.183956,1590,47753.52264
11004.681385,1599,47935.642701
11074.768445,1593,48118.479142
11247.727278,1603,48300.839012
11329.516302,1611,48483.559856
10489.035267,1574,48665.718076
10872.820838,1596,48848.041816
10618.544012,1583,49030.167288
10609.649751,1583,49212.313673
10755.339821,1588,49395.131418
10581.409467,1581,49943.298307
10602.282273,1583,50125.455585
10557.856379,1595,50309.20274
10572.192754,1581,50491.987741
10844.930582,1594,50674.857049
11255.595244,1594,50857.239525
9665.602175,1596,51039.879488
11368.612531,1605,51222.69597
10556.110768,1579,51405.073909
10830.380472,1592,51587.700329
10784.105286,1592,52135.056403
10551.292171,1579,52317.900895
10595.849163,1580,52500.283537
10705.057049,1592,52682.48699
10524.523805,1579,52865.315552
10832.859671,1594,53047.944385
10607.451621,1580,53230.600375
10600.69802,1580,53413.245898
10719.110598,1591,53595.880281
10600.90719,1581,53778.504855
11053.64832,1596,54325.945427
10651.704222,1591,54508.65106
10606.174703,1584,54691.284308
10789.958014,1593,54874.131325
10629.328654,1579,55056.485509
10626.480845,1583,55239.118737
10849.407148,1595,55421.760108
10541.881893,1579,55603.897492
10924.938274,1595,55786.107215
11283.901427,1598,55968.729181
10612.43281,1584,56517.338977
10857.00047,1592,56699.837267
10666.711559,1586,56882.502392
10578.644518,1581,57065.368719
10841.118979,1595,57247.996653
10668.063213,1584,57430.137359
10642.577545,1582,57612.988165
10781.821294,1590,57795.631546
10601.757547,1582,57978.270485
10810.740104,1592,58160.920375
10787.496382,1592,58708.149373
10598.379021,1582,58890.816556
10764.41854,1587,59073.494437
7185.621509,1547,59255.769518
6248.044059,1525,59437.97678
11422.38025,1602,59620.67359
10023.782289,1468,59803.363652
10794.576568,1590,59986.093656
10551.170354,1580,60168.736807
10615.228146,1580,60352.510756
10960.410363,1590,60901.129043
11066.808305,1592,61083.909585
11053.189751,1592,61266.110262
11519.566078,1610,61448.753596
11000.594203,1591,61631.395103
10990.385849,1594,61814.03797
10963.756613,1596,61996.175284
10511.769371,1577,62178.83622
10683.828026,1588,62361.207393
10525.770588,1582,62543.889009
11286.682899,1601,63090.378449
11523.53881,1611,63273.131915
11155.325198,1598,63455.311556
10568.772245,1581,63638.092142
11441.401927,1610,63820.974361
11157.864652,1598,64003.610698
11478.820977,1610,64186.302979
11270.642435,1600,64368.976519
10925.638344,1590,64551.649018
10818.793097,1593,64733.839302
10487.191188,1582,65281.546408
10518.19307,1567,65464.194704
9615.496249,1426,65646.365181
10507.467435,1579,65828.998418
9732.806122,1583,66011.643314
11114.564838,1601,66194.511325
11013.989342,1594,66376.881575
10777.172007,1592,66559.549316
11288.348688,1599,66742.206932
10746.144342,1586,66924.874597
11370.966916,1601,67472.586736
10816.501412,1591,67655.350761
10935.108577,1587,67838.178814
10959.960585,1593,68021.04221
10548.521318,1576,68203.912057
10752.542958,1585,68386.580244
10399.870844,1573,68569.268324
10547.092879,1576,68751.939489
10837.763701,1594,68934.615311
10588.544749,1582,69117.249588
10533.056662,1576,69665.142984
10733.219474,1592,69847.981577
10607.566566,1585,70030.868566
10730.472451,1590,70213.444542
10816.552925,1592,70395.682703
10521.385852,1575,70578.326662
11143.474456,1599,70760.48853
11316.550673,1600,70943.172193
11287.242807,1603,71125.339486
11508.870037,1614,71308.154653
5768.221145,867,71855.529913
